,ls3,a4,soct2,idio2,np1,it1,l1b,prot3,vic1ext,aoj11,b1,b2,b3,b4,b6,b43,b12,b13,b18,b21,b21a,b32,b37,b47a,m1,m2,infrax,infra3,ros1,ros4,ing4,eff1,eff2,aoj22new,media3,media4,pn4,d1,d2,d3,d4,d5,d6,lib1,lib2b,lib2c,lib4,usmex1,exc7new,vb1,vb2,vb3n,usvb1011,pol1,usvb20,aca6,q1,q2,q5a,q5b,q3c,q10new,q11n,q12bn,q12,q12m,q12f,etid,www1,gi0
542,1,3,2,2,2,2,8,2,2,2,5,5,6,6,5,7,6,5,6,5,6,5,4,5,2,2,2,1,5,6,6,6,5,6,5,5,2,9,8,7,7,4,1,2,3,2,2,2,2,1,1,4002,4001,3,3,4,1,64,2,1,5,8,2,0,4,3,1,1,1,2
543,2,22,1,2,2,2,6,2,2,2,5,6,6,6,6,7,7,4,6,4,1,6,6,6,5,4,1,1,1,5,7,4,7,7,6,3,2,5,10,2,5,10,10,2,2,2,2,3,2,1,2,NA,4002,1,2,5,1,64,5,4,11,4,3,0,0,NA,NA,1,1,1
544,1,3,3,3,1,1,10,2,2,2,6,4,5,6,7,7,7,4,6,4,7,6,1,7,1,2,2,2,1,1,7,6,6,4,1,7,1,7,7,4,6,8,1,2,2,2,2,3,2,1,1,4002,4001,1,3,4,2,85,2,1,1,5,6,0,1,0,1,1,1,1
545,1,1,2,2,2,1,10,2,2,1,5,5,5,6,6,6,6,6,6,5,6,6,5,6,1,2,3,3,5,5,6,5,6,7,5,5,2,5,5,4,4,1,1,2,2,2,2,2,2,1,1,4002,4001,2,3,1,2,58,2,1,2,16,2,0,2,1,1,1,1,2
546,1,1,1,3,1,2,5,2,2,2,4,1,6,7,7,7,6,1,6,1,4,3,2,4,3,5,2,1,1,1,7,1,4,7,1,4,2,10,10,10,4,10,5,2,3,2,2,3,3,1,1,4002,4003,1,3,1,2,59,5,2,1,16,2,0,4,3,1,4003,1,1
547,3,1,2,1,2,2,10,2,2,1,6,3,1,4,6,7,6,1,6,1,1,3,1,6,4,5,2,2,1,1,7,2,5,4,1,4,3,10,8,8,3,9,1,1,1,1,3,2,3,1,1,4077,4003,1,5,7,2,51,1,1,5,5,1,0,0,NA,NA,1,1,1
548,2,33,2,3,2,1,10,2,2,1,5,3,4,4,4,6,7,2,6,2,7,6,1,4,2,4,1,1,1,4,5,7,5,7,2,7,2,9,8,4,7,2,1,3,2,3,2,3,4,1,1,4002,4003,3,3,4,1,69,4,1,5,4,5,0,0,NA,NA,1,1,1
549,2,70,2,3,2,1,8,2,2,1,6,4,3,6,6,7,7,4,6,2,5,3,1,6,2,4,1,1,1,3,6,2,6,4,2,6,1,10,10,10,10,10,6,2,2,2,2,1,2,1,1,4002,4001,2,3,1,2,61,1,1,2,11,1,0,2,2,0,1,1,1
550,2,27,1,2,2,2,8,2,2,2,5,3,6,6,4,7,7,2,5,3,4,3,1,6,2,3,2,2,1,1,7,3,6,6,1,5,2,10,10,6,8,10,8,2,2,2,2,2,2,1,1,4002,4001,1,3,2,1,37,3,2,1,14,2,0,0,NA,NA,4003,1,1
551,3,13,2,3,2,2,7,2,2,3,5,5,5,6,7,7,4,2,5,1,5,6,1,4,2,4,1,2,5,3,4,7,6,7,1,4,2,6,3,3,3,8,1,3,3,3,3,3,5,1,1,4002,4001,1,3,2,2,63,5,1,2,10,2,0,3,2,1,1,1,1
