,ls3,a4,soct2,idio2,np1,it1,l1b,prot3,vic1ext,aoj11,b1,b2,b3,b4,b6,b43,b12,b13,b18,b21,b21a,b32,b37,b47a,m1,m2,infrax,infra3,ros1,ros4,ing4,eff1,eff2,aoj22new,media3,media4,pn4,d1,d2,d3,d4,d5,d6,lib1,lib2b,lib2c,lib4,usmex1,exc7new,vb1,vb2,vb3n,usvb1011,pol1,usvb20,aca6,q1,q2,q5a,q5b,q3c,q10new,q11n,q12bn,q12,q12m,q12f,etid,www1,gi0
1,1,59,2,2,1,2,4,2,2,1,5,2,5,4,5,6,5,1,3,3,1,5,6,6,5,5,1,1,1,6,7,3,6,4,6,6,2,10,10,10,10,10,10,1,2,2,1,1,2,1,1,4001,4002,1,2,1,1,59,5,4,11,16,2,0,0,NA,NA,1,1,1
2,2,10,1,3,2,2,3,2,2,1,6,6,6,6,6,6,6,5,6,4,3,5,5,7,5,5,2,2,2,7,7,5,6,2,5,6,2,10,10,10,9,10,10,2,2,2,2,1,2,1,1,4001,4002,1,2,1,1,37,5,4,11,15,5,1,1,0,1,1,1,1
3,1,13,1,1,1,2,10,2,2,1,3,2,1,7,7,7,7,1,6,1,7,4,1,6,1,5,1,1,1,1,4,2,7,6,1,7,3,10,10,10,10,10,5,2,2,2,2,2,4,1,1,4002,4003,1,3,1,1,43,2,1,6,15,2,5,7,2,5,1,1,1
4,3,15,2,3,2,2,2,2,2,1,5,6,6,4,6,5,5,5,5,3,1,3,5,2,5,4,1,3,4,5,5,4,4,3,5,6,3,10,10,10,6,10,10,2,2,2,2,3,2,1,1,4001,4002,1,2,4,1,77,2,2,2,14,2,0,3,2,1,1,1,1
5,4,16,1,2,2,3,10,2,2,1,2,4,4,7,7,7,7,3,6,2,7,1,1,5,1,4,2,1,1,1,7,2,7,4,1,4,1,10,10,10,10,10,5,2,2,1,2,2,4,1,1,4002,4003,1,3,3,2,37,5,3,4,15,4,0,0,NA,NA,1,1,1
6,3,15,3,3,2,3,5,1,2,2,4,2,4,3,3,4,6,1,3,3,1,3,5,3,5,4,3,2,3,3,4,1,2,6,6,5,3,5,9,7,3,1,1,2,2,2,2,1,3,1,1,4001,4002,3,2,4,1,68,2,1,5,15,2,0,3,2,1,1,1,1
7,1,59,2,2,2,2,4,1,2,1,4,2,3,4,7,6,5,2,3,1,1,3,4,6,5,5,1,1,1,3,5,2,5,3,4,5,2,10,10,10,10,10,10,2,2,2,1,1,2,1,1,4001,4003,1,2,4,1,67,5,4,11,10,2,0,3,0,3,1,1,1
8,1,1,2,2,1,2,5,2,2,2,5,3,4,6,7,7,7,1,5,2,1,2,3,4,5,5,2,1,2,3,7,3,6,5,2,7,2,10,10,10,10,10,10,2,2,2,2,1,4,1,1,4001,4003,1,2,3,1,42,4,2,77,16,2,0,0,NA,NA,1,1,1
9,1,15,2,2,2,2,8,2,2,2,4,2,6,5,7,7,7,2,7,2,5,6,1,5,2,4,1,1,1,4,7,4,4,6,1,6,2,10,10,10,10,10,1,2,2,2,2,3,2,1,1,4002,4003,1,3,1,1,59,4,1,2,10,2,0,2,1,1,1,1,4
10,1,70,2,2,2,1,3,2,2,1,6,7,6,7,7,7,5,4,5,3,5,6,6,7,5,4,1,1,1,3,7,5,7,2,6,5,2,10,10,10,10,10,10,2,2,2,2,3,4,1,1,4003,4002,1,2,1,1,41,3,2,1,16,1,0,0,NA,NA,1,1,1
11,2,13,1,1,2,2,10,2,2,1,4,5,4,7,7,7,7,4,6,5,7,5,3,5,1,3,2,2,1,1,7,6,6,7,1,5,2,9,9,9,8,9,5,2,2,2,2,3,2,1,1,4002,4001,1,3,4,2,68,4,2,1,5,2,0,3,3,0,1,1,1
12,2,15,2,3,2,2,6,2,2,2,5,3,3,3,3,4,5,1,5,1,1,4,4,5,5,5,1,1,1,3,5,1,5,3,5,4,3,10,10,10,10,10,10,2,2,2,1,3,4,1,1,4002,4003,2,2,2,2,62,5,4,2,8,2,0,1,1,0,1,1,1
13,2,1,1,2,1,2,9,1,2,1,5,6,4,7,7,7,7,2,6,3,7,4,1,7,1,4,2,1,1,1,6,4,6,7,1,7,2,10,10,10,9,10,10,2,2,2,2,3,3,1,1,4002,4001,1,3,4,2,66,5,3,1,9,2,0,1,0,1,1,1,1
14,1,17,1,1,2,1,8,2,2,1,5,5,5,7,7,7,7,5,5,4,7,6,1,7,1,3,2,1,1,1,7,5,6,5,5,5,1,10,9,8,8,10,9,2,2,1,2,3,2,1,1,4002,4001,1,3,1,1,59,5,3,2,15,2,0,3,1,2,1,1,1
15,1,15,3,2,2,2,3,2,1,1,2,2,5,5,4,4,5,1,2,1,1,2,2,3,5,5,2,2,2,5,5,2,6,1,3,7,2,10,10,10,8,10,10,2,1,1,1,3,4,1,1,4001,4002,1,2,3,1,61,5,4,10,NA,1,0,0,NA,NA,1,1,1
16,2,14,1,1,2,2,7,2,2,1,6,3,5,7,6,7,6,1,6,1,5,3,2,7,2,5,2,2,7,1,7,3,7,7,1,7,2,4,5,1,1,9,5,2,2,2,2,2,2,1,1,4002,4003,1,3,6,1,61,5,3,2,16,6,0,0,NA,NA,1,1,1
17,2,12,1,2,2,2,7,2,2,2,6,5,6,7,7,7,7,4,6,1,5,5,1,6,2,4,1,1,1,1,7,5,5,5,3,6,2,9,10,10,10,10,2,2,2,2,2,2,3,1,1,4002,4003,2,3,1,1,63,4,2,5,8,2,0,3,2,1,4006,1,1
18,1,15,1,2,2,2,6,2,2,1,5,3,3,3,4,5,6,3,6,3,5,5,2,5,2,4,2,2,2,3,6,3,6,4,3,5,3,7,8,8,8,8,8,2,1,1,2,3,2,1,1,4002,4001,1,3,1,1,68,5,3,1,16,5,0,4,3,1,1,1,1
19,3,59,1,2,2,3,10,2,2,2,2,1,1,1,1,6,5,1,5,1,6,2,1,1,1,5,3,3,1,1,7,1,2,7,1,7,4,9,10,10,9,3,1,1,2,2,2,2,4,1,1,4002,4003,1,3,4,1,77,5,3,1,8,1,0,0,NA,NA,1,1,5
20,2,15,2,1,2,2,8,2,2,1,6,2,1,4,4,6,6,1,5,1,1,3,1,4,3,5,1,2,1,1,4,1,6,4,1,2,2,10,10,10,10,10,6,1,1,1,1,3,4,1,1,4077,4003,1,5,1,1,55,5,4,11,14,2,0,2,1,1,1,1,1
21,1,15,1,2,2,2,9,2,2,2,6,3,6,6,7,7,7,3,6,1,7,5,1,6,1,4,2,2,1,2,7,3,6,7,1,6,2,10,8,4,6,10,1,2,2,2,2,2,2,1,1,4002,4003,1,3,6,1,77,5,1,5,8,2,0,1,0,1,1,1,1
22,2,70,1,2,2,2,7,2,2,3,4,2,3,5,5,4,7,1,4,1,3,3,1,3,3,4,3,2,1,1,7,1,7,6,1,4,3,10,9,1,4,10,1,2,2,1,2,2,2,1,1,4002,4003,1,3,4,1,73,4,2,2,9,2,0,0,NA,NA,1,1,1
23,2,15,3,3,2,4,4,2,2,2,2,1,1,1,1,2,4,1,1,1,1,1,3,3,5,5,1,1,3,7,1,1,5,1,2,7,4,10,10,10,10,10,10,2,2,1,1,1,5,1,1,4001,4003,2,2,2,1,67,5,1,1,2,2,0,3,2,1,1,1,1
24,3,13,1,1,2,3,6,2,1,2,4,2,2,7,7,7,7,2,6,1,7,3,1,1,1,5,2,1,1,1,6,1,7,5,1,6,3,5,8,4,4,10,10,2,1,1,3,2,4,1,1,4002,4003,1,3,5,1,53,5,4,11,2,1,0,0,NA,NA,1,1,1
25,3,70,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,5,5,1,1,1,3,4,1,1,1,3,4,3,6,6,6,6,9,10,2,2,2,2,2,3,1,1,4001,4002,4,2,4,2,77,5,4,4,9,2,0,0,NA,NA,1,1,4
26,4,70,2,1,2,2,1,2,2,3,2,3,2,1,7,1,6,1,2,2,1,4,2,1,5,5,1,2,1,7,5,1,6,4,2,7,4,10,10,10,10,10,10,1,2,1,1,1,4,1,1,4001,4002,1,2,1,2,54,5,3,1,14,4,0,0,NA,NA,1,1,1
27,1,4,2,1,2,2,5,2,2,2,4,2,5,6,5,7,7,1,5,2,1,3,5,6,4,4,1,1,2,4,6,2,6,4,6,3,3,2,9,8,7,9,9,2,2,2,2,1,3,1,1,4001,4003,1,5,1,1,74,5,4,11,NA,2,0,1,1,0,1,1,1
28,2,58,2,1,2,2,1,1,2,1,3,4,3,3,4,2,2,3,1,5,1,5,5,3,5,3,2,2,7,7,5,3,6,3,3,6,3,10,10,10,10,10,10,2,1,1,1,3,2,1,1,4001,77,1,2,5,1,42,5,1,2,5,3,0,0,NA,NA,1,1,1
29,2,15,2,2,2,2,3,1,2,1,4,4,4,4,4,5,3,2,5,4,1,3,5,4,5,4,2,2,5,5,6,3,6,3,5,5,3,9,9,9,8,10,9,2,2,2,2,3,2,1,1,4001,4003,1,2,4,1,44,2,2,10,15,2,0,4,1,3,7,1,1
30,2,15,3,2,2,2,5,2,2,2,5,2,4,4,4,7,7,1,5,1,1,5,5,2,5,5,1,2,4,5,7,2,5,5,5,5,2,8,7,6,6,10,10,2,2,2,2,3,4,1,1,4001,4002,2,2,4,2,71,5,2,1,10,1,0,0,NA,NA,1,2,1
31,1,15,1,1,2,1,3,2,2,1,6,5,5,7,6,5,5,2,4,2,1,5,5,7,5,4,2,1,2,5,7,4,6,3,6,5,2,9,10,9,9,10,10,2,2,2,2,3,2,1,1,4001,4003,1,2,1,1,44,4,4,11,16,2,3,3,2,1,1,1,1
32,3,1,1,1,1,2,10,2,2,2,4,6,4,6,7,7,7,6,7,4,7,4,1,6,1,1,3,2,1,5,7,7,7,7,1,7,4,10,10,10,10,10,1,3,3,2,2,2,3,1,1,4002,4001,1,3,2,2,63,2,1,1,14,2,0,1,0,1,1,1,1
33,3,6,1,2,2,2,9,2,2,1,4,5,5,5,5,7,4,6,2,3,6,4,1,6,2,3,2,2,1,2,7,4,7,3,1,7,2,10,9,9,9,10,7,2,2,1,2,3,2,1,1,4003,77,1,5,1,1,55,4,2,2,12,2,1,3,1,2,1,1,1
34,1,15,1,2,2,2,8,2,2,2,5,3,6,6,6,7,6,2,5,1,4,3,1,6,3,4,2,2,1,1,6,2,6,6,2,6,2,9,10,9,9,8,1,2,2,2,2,3,2,1,1,4002,4003,2,3,1,1,63,1,1,5,13,2,0,1,0,1,1,1,2
35,2,70,1,1,2,2,10,2,2,2,2,7,3,7,6,7,7,5,6,4,7,5,1,3,2,4,2,2,2,1,6,7,6,7,1,7,4,8,3,9,9,1,1,3,1,1,1,2,4,1,1,4002,4001,1,3,4,2,73,5,1,2,15,6,0,4,2,2,1,1,1
36,2,15,1,1,2,2,2,2,2,1,5,5,4,3,5,4,5,2,4,2,1,6,5,4,5,5,1,1,2,4,5,4,5,4,5,4,3,8,9,9,9,9,9,2,2,2,2,3,3,1,1,4001,4002,1,2,2,2,81,5,4,11,7,6,0,1,1,0,1,1,1
37,2,1,1,2,2,2,9,2,2,1,5,2,5,5,5,6,6,4,5,3,6,5,1,5,2,3,2,2,1,2,6,3,5,5,1,7,2,9,8,4,6,7,4,3,2,2,2,3,4,1,1,4002,4001,4,3,4,2,67,2,2,1,11,2,0,0,NA,NA,1,1,2
38,2,13,1,2,2,2,9,2,1,1,5,6,5,6,7,7,6,4,5,3,4,4,1,6,2,3,2,2,1,2,7,2,4,6,2,2,2,10,10,10,10,10,3,2,1,1,2,2,3,1,1,4002,4001,2,3,2,1,63,5,1,2,13,2,0,2,1,1,1,1,3
39,1,25,3,2,2,1,4,2,2,2,2,4,2,5,6,5,7,1,2,5,1,5,7,6,5,3,1,1,1,7,7,1,6,1,7,2,3,10,10,10,8,10,2,2,2,2,1,1,4,1,1,4001,4002,1,2,5,1,62,1,1,5,3,1,0,0,NA,NA,4,1,1
40,4,13,2,3,2,2,2,2,2,3,2,3,3,1,6,3,6,1,5,1,1,4,3,6,5,5,3,2,5,6,4,2,6,2,3,7,4,10,10,10,5,10,10,3,2,2,1,2,2,1,1,4001,4002,1,2,1,1,43,5,4,11,11,2,2,2,1,1,1,1,1
41,1,15,2,2,2,2,6,2,2,2,1,2,1,3,1,7,7,1,3,1,1,3,7,7,5,5,2,2,1,7,7,1,7,4,7,7,3,6,10,1,5,10,10,2,2,1,1,2,4,1,1,4001,4003,2,2,1,1,60,2,1,77,15,2,0,2,0,2,4004,1,1
42,1,59,1,1,2,2,10,2,2,2,5,2,2,7,7,7,7,2,6,2,7,5,1,6,1,4,1,1,1,2,7,5,6,7,1,1,2,3,6,7,1,5,1,3,1,1,2,2,2,1,1,4002,4001,1,3,1,1,64,2,1,2,13,2,0,2,1,1,1,1,1
43,2,17,2,2,2,1,7,2,2,1,4,1,3,4,4,7,6,2,5,1,6,6,1,3,2,4,1,1,3,3,7,1,4,6,2,5,2,6,7,5,2,5,1,1,2,2,2,3,2,1,1,4002,4001,1,3,1,1,61,2,1,2,9,2,0,4,0,4,1,1,1
44,2,1,2,2,2,2,6,2,2,2,4,5,4,6,5,6,5,2,3,4,1,5,5,7,5,5,3,1,1,1,7,4,7,2,4,7,3,10,10,10,10,10,10,1,1,1,1,3,2,1,1,4003,77,1,5,3,1,60,5,4,11,5,2,0,2,0,2,1,1,1
45,2,59,1,2,2,2,10,2,2,2,4,1,4,1,1,5,7,1,6,1,7,1,1,1,1,5,1,1,1,1,7,5,7,7,1,7,3,4,1,1,3,10,1,3,3,3,3,2,4,1,1,4002,4001,1,3,1,1,65,5,3,1,15,2,0,2,1,1,1,1,1
46,1,10,3,2,2,2,2,1,2,1,4,2,4,5,5,6,5,2,6,3,1,4,5,4,5,5,1,1,3,6,6,1,7,2,5,6,2,9,10,9,7,10,10,2,2,2,2,1,2,1,1,4001,4002,1,2,1,2,59,4,2,2,9,2,0,2,1,1,1,1,1
47,2,15,1,2,2,1,4,2,2,1,5,7,5,7,7,5,6,2,6,2,1,6,6,6,5,5,1,1,2,3,7,1,7,3,6,4,2,10,10,10,10,10,10,2,2,2,2,1,2,1,1,4001,4003,2,2,1,1,43,5,4,11,11,1,0,0,NA,NA,1,1,1
48,2,4,3,1,1,2,5,2,2,2,3,4,5,4,6,6,5,2,5,3,1,4,6,5,4,4,2,2,3,7,6,3,5,2,6,6,3,4,9,8,6,4,4,2,2,1,2,1,2,1,1,4001,4003,3,2,1,1,40,2,1,1,10,2,0,1,0,1,4,1,2
49,1,59,1,1,2,2,9,2,2,2,5,1,5,5,4,7,6,1,6,1,7,5,1,6,1,5,1,2,1,1,7,4,7,6,1,7,2,10,10,10,10,10,1,1,1,1,1,2,4,1,1,4002,4002,1,3,2,1,53,3,1,1,15,2,0,3,1,2,7,1,1
50,2,59,1,1,2,2,9,2,2,1,4,4,4,6,7,7,7,4,6,2,5,5,2,4,2,4,2,1,1,1,6,3,4,4,2,4,3,8,10,8,8,10,5,2,2,2,2,2,3,1,1,4002,4001,1,3,3,1,64,2,1,2,14,2,0,1,0,1,1,1,1
51,1,5,1,2,1,1,8,2,2,1,6,3,4,7,6,7,6,2,7,1,6,6,1,5,1,4,1,1,2,1,7,2,6,6,1,6,2,9,9,8,8,10,1,2,2,2,2,2,3,1,1,4002,4001,1,3,1,2,63,5,1,5,13,2,0,2,1,1,1,1,1
52,2,4,1,3,2,2,1,2,2,2,3,6,4,4,4,5,5,1,2,2,1,3,3,4,5,4,2,1,5,7,7,3,6,3,4,6,3,10,10,10,6,10,10,2,2,2,2,3,4,1,1,4001,4002,1,2,1,2,33,5,4,3,9,1,0,0,NA,NA,4,1,1
53,2,15,2,2,2,3,5,2,2,2,4,3,3,5,4,5,6,1,4,2,1,3,3,5,4,5,1,2,2,3,7,1,4,4,3,2,3,10,10,10,10,10,10,2,2,2,1,3,4,1,1,4003,4003,2,5,1,1,63,4,2,2,14,2,0,2,2,0,1,1,3
54,1,33,2,2,2,2,8,2,2,1,5,5,5,7,7,7,7,5,5,5,5,4,1,5,3,4,1,1,1,3,7,3,3,6,2,6,2,10,10,10,10,10,1,2,3,2,2,1,2,1,1,4002,4001,2,3,1,2,64,4,1,1,15,2,0,0,NA,NA,4003,1,1
55,2,21,2,2,2,2,8,2,2,2,3,5,4,5,6,7,7,4,4,3,5,4,1,4,1,3,1,1,1,4,7,3,7,5,3,5,3,8,8,1,8,1,10,1,2,1,1,2,3,1,1,4002,77,2,3,6,1,62,5,1,77,4,4,0,0,NA,NA,7,1,1
56,2,15,1,1,2,2,3,2,2,1,5,5,3,7,7,7,7,4,5,2,1,3,5,6,5,4,2,1,1,2,7,1,7,4,7,6,2,10,10,10,10,10,10,2,2,2,2,3,2,1,1,4001,4002,1,2,4,2,70,5,3,2,16,2,0,2,2,0,1,1,1
57,1,57,1,2,2,2,8,2,2,1,6,4,4,6,6,7,7,3,6,2,6,3,1,6,1,4,2,1,1,2,7,3,7,6,1,5,3,10,8,10,4,10,2,3,2,2,1,2,4,1,1,4002,4001,1,3,4,1,86,4,2,2,13,3,0,2,1,1,1,2,1
58,1,70,1,1,2,2,7,2,2,1,4,2,4,5,6,7,7,2,7,1,6,5,1,4,1,5,1,1,1,1,7,3,7,6,1,4,3,10,8,8,10,10,10,2,2,1,2,1,3,1,1,4002,4001,1,3,3,1,58,2,1,1,16,2,0,2,0,2,1,1,1
59,1,33,1,2,2,2,10,2,2,1,4,7,6,7,7,7,5,4,6,3,5,2,1,5,2,3,1,2,1,2,6,3,6,6,2,6,2,3,6,5,5,5,1,2,2,2,2,2,2,1,1,4002,4001,1,3,4,1,71,4,2,1,9,2,0,2,1,1,1,1,1
60,1,15,1,2,2,2,4,2,2,1,5,3,5,5,6,7,7,2,5,4,1,3,6,6,5,4,1,2,3,5,7,5,7,3,7,3,3,10,10,10,10,10,10,2,2,2,2,3,2,1,1,4001,4003,1,2,1,1,59,2,2,2,15,2,2,2,2,0,1,1,1
61,3,15,2,2,2,1,2,2,2,1,4,4,5,5,5,6,6,3,5,3,1,4,5,5,5,4,1,1,5,7,6,2,5,2,6,5,2,9,10,8,6,10,10,2,2,2,2,1,2,1,1,4001,4002,1,2,4,1,53,5,4,11,8,1,0,0,NA,NA,1,1,1
62,2,70,3,3,1,3,5,2,2,2,2,1,1,1,1,1,4,1,1,1,1,2,1,1,5,5,2,2,7,7,5,1,7,1,1,7,4,10,10,10,10,10,10,1,1,1,1,2,5,1,1,4004,4003,1,5,1,1,63,5,4,11,16,3,0,2,1,1,1,1,1
63,1,70,1,2,2,2,8,2,2,2,3,3,4,7,7,7,7,3,6,2,5,6,1,6,2,4,2,2,2,2,7,5,5,4,1,6,2,9,10,9,9,9,2,2,2,2,2,2,4,1,1,4002,4003,1,3,6,1,68,2,1,6,NA,2,0,0,NA,NA,1,1,1
64,1,15,2,2,1,1,5,1,2,1,5,4,4,4,5,7,7,2,3,1,1,5,7,6,5,5,1,1,1,7,7,4,7,3,7,5,3,10,10,10,5,10,10,2,2,2,2,1,4,1,1,4001,4002,1,2,4,1,71,2,2,2,16,2,0,2,2,0,4,1,1
65,3,3,3,3,1,2,5,2,2,2,2,4,4,4,5,6,6,2,2,4,1,2,5,5,5,4,2,2,4,7,5,4,5,2,6,5,3,6,6,5,4,4,4,2,2,3,2,3,2,1,1,4001,4002,1,2,1,1,74,2,1,2,11,2,0,1,1,0,4,1,1
66,2,33,1,2,2,1,9,2,2,2,5,5,3,4,6,7,7,3,7,4,7,5,1,5,1,4,1,1,1,1,7,4,6,7,1,7,2,10,10,10,10,10,2,2,2,2,2,2,2,1,1,4002,4001,1,3,3,1,62,3,2,2,13,2,0,2,1,1,1,1,1
67,1,10,2,2,2,2,1,2,2,1,5,4,4,5,5,5,7,3,3,3,1,5,5,5,5,5,1,2,2,7,7,4,6,1,6,7,2,8,9,8,7,10,10,1,2,2,1,3,3,1,1,4001,4002,1,2,4,1,76,5,3,4,11,2,0,2,2,0,1,1,1
68,1,2,1,1,2,1,7,2,2,1,6,6,7,6,6,7,7,5,7,4,2,6,4,7,4,3,2,1,1,1,7,4,5,3,5,7,2,10,7,5,7,10,10,2,2,2,2,2,2,1,1,4001,4001,3,2,3,2,36,5,4,2,11,2,1,1,0,1,1,1,1
69,1,11,2,1,2,2,4,2,2,1,6,4,6,7,7,7,7,3,5,4,1,5,6,6,5,4,2,2,2,2,7,2,6,3,6,2,1,10,10,10,9,10,1,2,2,2,2,1,2,1,1,4001,4002,1,2,1,2,59,1,1,77,14,2,0,0,NA,NA,1,1,1
70,1,21,1,2,2,1,8,2,2,1,6,5,5,7,5,7,7,5,7,3,6,6,1,7,2,3,1,1,1,1,7,4,6,6,2,1,1,10,10,10,6,9,5,2,1,1,2,3,2,1,1,4002,4001,2,3,3,1,52,5,1,2,15,2,0,1,1,0,1,1,1
71,2,58,2,2,1,2,4,2,1,2,5,1,1,1,1,6,4,3,1,1,2,5,6,7,5,5,2,2,1,5,7,4,7,7,5,7,3,10,10,10,10,10,10,1,1,1,1,1,3,1,1,4001,4002,1,2,1,1,33,5,3,4,11,3,0,0,NA,NA,1,1,2
72,2,15,2,1,2,2,4,2,2,1,3,2,3,2,4,6,4,2,4,3,1,4,2,1,5,4,1,1,2,3,5,2,5,3,2,7,3,5,9,5,5,5,5,3,2,3,2,3,4,1,1,4001,4002,2,2,1,2,41,5,1,2,11,1,0,0,NA,NA,4,1,1
73,2,70,2,2,2,2,7,2,2,2,6,2,5,5,6,6,6,1,4,1,5,6,1,6,3,4,2,2,1,2,7,3,4,4,2,7,2,10,10,10,10,10,10,2,2,2,2,3,4,1,1,4002,4001,3,5,1,1,57,5,4,11,14,1,0,1,0,1,1,1,1
74,2,59,1,2,2,3,10,2,2,2,6,3,3,7,7,7,6,4,6,1,6,4,1,6,1,5,5,3,1,1,6,2,6,6,1,6,2,5,10,1,5,5,1,1,1,1,NA,2,2,1,1,4002,77,1,3,1,1,57,1,1,5,7,2,0,3,1,2,1,1,1
75,2,22,2,2,2,2,9,2,1,2,6,4,5,7,7,7,6,1,4,1,5,2,1,5,2,4,1,1,1,1,6,2,7,7,1,7,3,10,6,7,6,10,10,3,2,2,2,2,4,1,1,4002,4003,1,5,4,2,67,5,2,2,12,2,0,2,0,2,1,1,1
76,1,17,1,1,1,2,8,2,2,1,4,5,4,7,6,7,7,4,5,4,6,4,1,3,1,4,1,1,1,1,7,3,5,5,1,7,2,1,8,1,8,10,8,1,1,1,2,3,2,1,1,4002,4001,1,3,1,2,56,2,1,1,14,2,0,0,NA,NA,1,1,1
77,2,15,1,2,2,2,5,2,2,1,4,3,4,5,5,7,6,2,3,2,1,5,4,6,5,4,3,2,1,5,7,3,6,4,5,7,3,10,10,9,10,10,4,2,2,2,1,3,4,1,1,4001,4002,1,2,4,1,74,5,4,11,11,6,0,3,2,1,1,1,1
78,2,5,1,2,2,1,10,2,1,3,4,2,2,7,5,7,7,1,4,1,4,1,1,4,2,5,3,2,1,1,5,1,5,7,1,7,3,10,10,10,10,10,1,2,2,1,3,2,4,1,1,4002,4003,1,3,4,2,76,5,1,2,11,2,0,0,NA,NA,1,1,1
79,3,15,2,3,2,2,1,2,2,1,1,5,3,5,5,4,5,1,3,1,1,4,5,5,5,5,1,2,1,7,7,1,7,1,5,7,4,10,10,6,6,10,10,2,2,2,1,1,4,1,1,4001,4002,1,2,6,2,52,5,4,4,13,1,0,0,NA,NA,1,1,1
80,3,21,2,1,1,2,4,2,2,2,5,3,4,3,4,3,5,1,4,2,1,3,4,3,5,5,2,2,3,4,6,1,4,5,5,4,3,10,10,9,9,10,10,2,2,2,1,3,4,1,1,4001,4002,1,2,1,1,35,5,4,11,9,1,0,0,NA,NA,1,1,1
81,2,70,1,1,2,2,10,2,2,3,4,3,3,6,7,7,6,1,5,1,6,3,1,4,1,5,1,2,1,1,1,3,7,7,1,7,4,1,1,1,1,5,1,3,3,3,3,2,4,1,1,4002,4003,1,3,1,1,50,5,3,77,13,2,0,0,NA,NA,1,1,1
82,1,15,2,2,1,2,3,2,2,1,5,2,2,4,6,6,6,1,5,1,1,5,4,4,5,5,2,2,4,6,5,3,6,2,4,1,3,10,10,10,10,10,10,2,2,2,1,3,4,1,1,4001,4003,1,2,4,1,69,2,2,2,14,2,0,3,1,2,1,1,1
83,2,33,1,1,1,1,10,2,2,1,6,6,6,7,6,7,7,4,6,1,6,6,1,6,1,5,2,3,1,1,7,4,6,5,1,3,1,5,9,5,5,5,1,2,1,1,2,2,2,1,1,4002,4001,1,3,3,2,61,5,2,2,11,2,0,3,3,0,1,1,1
84,2,13,3,3,2,3,8,2,2,3,3,1,4,1,2,2,2,1,3,1,1,3,1,1,5,5,4,2,5,5,1,1,7,6,1,7,4,10,10,8,10,5,1,1,1,1,3,2,5,1,1,4001,4003,1,5,4,2,55,5,2,4,5,1,0,0,NA,NA,1,1,1
85,2,15,1,1,2,2,9,2,2,1,5,3,5,7,7,7,7,2,6,2,6,6,1,6,1,4,2,2,1,1,7,2,6,6,1,7,2,10,8,3,6,8,1,2,2,2,2,2,4,1,1,4002,4001,1,3,4,1,74,3,1,2,9,2,0,2,1,1,1,1,1
86,1,32,3,3,2,1,1,2,2,1,4,3,2,4,4,3,2,1,2,1,1,4,5,7,4,5,3,2,2,7,5,1,4,1,6,6,3,10,10,10,10,10,10,2,2,2,2,1,2,1,1,4001,4002,1,2,4,1,67,5,4,11,8,3,0,0,NA,NA,1,1,1
87,2,59,3,2,1,2,4,2,2,1,4,1,2,4,5,4,4,1,3,1,1,5,4,5,5,4,1,1,6,5,5,1,6,2,2,6,3,10,10,10,2,10,10,2,2,2,1,3,4,1,1,4001,4003,1,5,1,1,60,5,2,2,13,1,0,0,NA,NA,1,1,1
88,2,15,1,1,1,3,8,2,2,1,2,2,5,5,5,3,1,6,3,1,7,2,1,5,1,2,1,2,1,1,7,2,7,7,1,5,2,2,6,5,4,1,1,3,3,2,2,2,3,1,1,4002,4003,1,3,2,1,63,5,4,2,16,2,0,0,NA,NA,1,1,1
89,3,15,3,2,2,2,3,2,1,2,3,1,3,2,2,2,2,2,2,2,1,4,3,4,5,4,2,1,1,7,7,2,6,5,4,4,3,10,10,1,1,10,10,2,2,2,2,2,4,1,1,4001,4002,1,2,1,2,55,5,4,11,7,1,0,0,NA,NA,1,1,1
90,3,58,2,2,2,3,1,2,2,2,4,2,3,2,2,2,2,1,1,1,1,2,1,2,5,5,2,2,4,4,3,2,5,2,2,7,3,10,10,10,10,10,10,1,1,1,1,3,4,1,2,NA,4003,2,5,4,1,35,5,4,11,2,1,0,0,NA,NA,1,1,2
91,2,59,3,1,2,2,3,2,2,2,4,1,1,1,2,4,4,1,1,1,1,3,6,2,5,5,3,2,5,4,2,1,1,1,1,2,3,10,10,2,1,7,9,2,2,2,2,1,4,1,1,4001,4002,2,2,4,1,34,2,1,1,10,2,0,0,NA,NA,4003,1,1
92,1,58,1,1,1,2,4,2,2,1,7,5,2,5,5,5,7,5,5,3,1,5,6,7,5,4,2,2,1,2,7,2,7,1,5,4,2,10,10,10,10,10,10,2,2,2,2,1,2,1,1,4001,4002,1,2,4,1,74,2,1,1,15,2,0,3,1,2,1,1,1
93,2,58,3,2,2,3,2,2,2,1,3,2,2,1,2,2,3,1,2,1,1,3,2,4,5,5,1,2,5,7,6,2,6,1,3,7,3,10,10,8,7,10,10,1,2,2,1,1,2,1,1,4001,4003,2,2,7,2,36,5,4,11,12,1,0,0,NA,NA,1,1,1
94,2,1,2,2,2,2,7,2,2,2,5,3,3,5,5,7,7,4,6,3,5,5,2,6,2,3,1,1,1,1,5,1,5,3,2,7,2,10,10,10,10,10,5,2,2,2,2,2,5,1,1,4002,4003,2,3,6,1,56,5,2,5,8,4,0,2,1,1,7,1,1
